IID1,IID2,G,famIDseqID
115,40,0.117967355005183,2
254,40,0.054610969116848,2
338,40,0.209794514391579,2
535,40,0.143485866602671,2
638,40,0.125814605037208,2
645,40,0.236603256819517,2
768,40,0.108861962923714,2
1077,40,0.194131925332537,2
115,49,0.153501176975997,2
254,49,0.237221238069179,2
338,49,0.230774041753596,2
535,49,0.229002805786221,2
638,49,0.168249171341112,2
645,49,0.112482053082803,2
768,49,0.286102644977299,2
1077,49,0.199945386008487,2
115,70,0.209094661289604,2
254,70,0.184680338344681,2
338,70,0.118821957283993,2
535,70,0.177606966952867,2
638,70,0.111259058749356,2
645,70,0.257875710183859,2
768,70,0.120818773036999,2
1077,70,0.182096971029713,2
115,88,0.182667810497732,2
254,88,0.220445920514565,2
338,88,0.167121133871494,2
535,88,0.170263669794565,2
638,88,0.177279763612596,2
645,88,0.213084017242688,2
768,88,0.179409892767074,2
1077,88,0.190661444249469,2
120,115,0.168788271117229,2
563,115,0.213472532883132,2
576,115,0.175858400470395,2
709,115,0.11421000885794,2
914,115,0.126845254117469,2
1069,115,0.211711229418026,2
254,120,0.254464893956678,2
338,120,0.0969219365017875,2
535,120,0.211900153682056,2
638,120,0.204828106508218,2
645,120,0.12110485198823,2
768,120,0.231200277020927,2
1077,120,0.232690625789808,2
563,254,0.201176855971957,2
576,254,0.131602224308618,2
709,254,0.164185060871819,2
914,254,0.111675886864089,2
1069,254,0.224916966363892,2
563,338,0.216654096189215,2
576,338,0.22105448928574,2
709,338,0.220075584009792,2
914,338,0.192114448939315,2
1069,338,0.169602500530906,2
563,535,0.151714989129173,2
576,535,0.240869788762203,2
709,535,0.188975854211995,2
914,535,0.202944170891284,2
1069,535,0.206807581302137,2
638,563,0.20278795692493,2
645,563,0.111220054664465,2
768,563,0.23761718950832,2
1077,563,0.256969928823859,2
638,576,0.115862856714836,2
645,576,0.144222576728442,2
768,576,0.283428173093566,2
1077,576,0.344634031858112,2
709,638,0.236186194555797,2
914,638,0.169344372282259,2
1069,638,0.18875604083249,2
709,645,0.126801943824416,2
914,645,0.105562112700728,2
1069,645,0.19003341719846,2
768,709,0.166217133669081,2
1077,709,0.203306809779734,2
914,768,0.145361922068711,2
1069,768,0.155663031141326,2
1077,914,0.120127487313586,2
1077,1069,0.160012444562938,2
184,99,0.214235506965399,4
281,99,0.260605138887208,4
300,99,0.252633866119858,4
328,99,0.247405151841905,4
339,99,0.230953227761373,4
433,99,0.172509478115859,4
611,99,0.178034870812342,4
692,99,0.204920650416073,4
948,99,0.238040904198167,4
1075,99,0.199091998838136,4
184,150,0.19411813159713,4
281,150,0.242798299117486,4
300,150,0.179514743510034,4
328,150,0.208640673070254,4
339,150,0.193241842573292,4
433,150,0.125657429685086,4
611,150,0.149362128958698,4
692,150,0.187613638811501,4
948,150,0.176932727969878,4
1075,150,0.205317432226246,4
184,160,0.262207142536031,4
281,160,0.131669338397774,4
300,160,0.194698989244929,4
328,160,0.223748682387414,4
339,160,0.299608618809119,4
433,160,0.285356555729198,4
611,160,0.265184960376234,4
692,160,0.231332324660565,4
948,160,0.261649985686635,4
1075,160,0.267272202951023,4
212,184,0.201693841261179,4
238,184,0.215011941609922,4
246,184,0.214914621541528,4
251,184,0.17376861005779,4
457,184,0.231923167042262,4
637,184,0.175549202752086,4
1089,184,0.218422164818119,4
281,212,0.13991535706189,4
300,212,0.1624664530178,4
328,212,0.13799918632585,4
339,212,0.209593232724797,4
433,212,0.254206227198846,4
611,212,0.230789969059536,4
692,212,0.126514037534448,4
948,212,0.134623244201181,4
1075,212,0.274612315351466,4
281,238,0.163322159667494,4
300,238,0.171221299762074,4
328,238,0.309836472632995,4
339,238,0.219897536488684,4
433,238,0.249628876465306,4
611,238,0.204246768871829,4
692,238,0.168734367045877,4
948,238,0.260044582124877,4
1075,238,0.187462389651724,4
281,246,0.185991873309742,4
300,246,0.162339026586533,4
328,246,0.205286571850658,4
339,246,0.258179966834391,4
433,246,0.221589942270012,4
611,246,0.288318663156116,4
692,246,0.173421116371837,4
948,246,0.256753602870797,4
1075,246,0.296524975662129,4
281,251,0.235982153687452,4
300,251,0.275560100343998,4
328,251,0.100532745721103,4
339,251,0.156347840637827,4
433,251,0.168318014997555,4
611,251,0.18092603117382,4
692,251,0.207157269326111,4
948,251,0.210719722246469,4
1075,251,0.157927064965942,4
457,281,0.285757600120544,4
637,281,0.170674555186281,4
1089,281,0.277982016616943,4
457,300,0.26109169128487,4
637,300,0.208147473033908,4
1089,300,0.196990222102963,4
457,328,0.199072248696264,4
637,328,0.139422325182257,4
1089,328,0.243042095151833,4
457,339,0.326227746342208,4
637,339,0.143878482793678,4
1089,339,0.266449273283533,4
457,433,0.164734893438436,4
637,433,0.229138571701199,4
1089,433,0.144392600029934,4
611,457,0.242840518468283,4
692,457,0.0857040058795802,4
948,457,0.304650117441667,4
1075,457,0.292685782657691,4
637,611,0.279912317458775,4
1089,611,0.121776894857039,4
692,637,0.174432660828678,4
948,637,0.231145941884495,4
1075,637,0.157874157865166,4
1089,692,0.17665492569759,4
1089,948,0.212253063611025,4
1089,1075,0.294463571522981,4
7,2,0.452889915044962,7
147,2,0.367309553590643,7
185,2,0.272116408915152,7
237,2,0.382589837270868,7
441,2,-0.0474323739933762,7
619,2,0.38226669414282,7
629,2,0.426464364891123,7
730,2,0.365283674860439,7
829,2,0.332056375771178,7
850,2,0.353194752351603,7
258,7,0.473263645264991,7
297,7,0.425256626303338,7
353,7,0.329022766769579,7
438,7,0.335688453530466,7
844,7,0.350833614630451,7
861,7,0.306900864918164,7
957,7,0.250631571648305,7
988,7,0.340968647540638,7
994,7,0.36370909477086,7
258,147,0.486126762249726,7
297,147,0.46005542606688,7
353,147,0.383759436757938,7
438,147,0.384763267768641,7
844,147,0.391750340498868,7
861,147,0.321976300898173,7
957,147,0.325611088451277,7
988,147,0.335931319522862,7
994,147,0.339828421079358,7
258,185,0.403052330928601,7
297,185,0.379485764876575,7
353,185,0.250021521583364,7
438,185,0.282027204864729,7
844,185,0.32248666608467,7
861,185,0.26683188453874,7
957,185,0.306926179379532,7
988,185,0.318450487764965,7
994,185,0.205341119964148,7
258,237,0.530464360684707,7
297,237,0.473883577203866,7
353,237,0.254164272355965,7
438,237,0.369094040190889,7
844,237,0.323286313642863,7
861,237,0.282899569307156,7
957,237,0.280254973571306,7
988,237,0.345007322938317,7
994,237,0.385589389901417,7
441,258,-0.00835391393917995,7
619,258,0.404776252554749,7
629,258,0.459957156249431,7
730,258,0.370062100094409,7
829,258,0.365280451463968,7
850,258,0.453866250027119,7
441,297,-0.0326211758827602,7
619,297,0.368512294172749,7
629,297,0.371637660958445,7
730,297,0.379936959655934,7
829,297,0.3913547537469,7
850,297,0.365408863811605,7
441,353,-0.0919122111947057,7
619,353,0.353357432569621,7
629,353,0.369827513934175,7
730,353,0.281268520919511,7
829,353,0.433692520128804,7
850,353,0.343497180098308,7
441,438,-0.0509414515898366,7
619,438,0.309962726786627,7
629,438,0.35036051551337,7
730,438,0.308217665109621,7
829,438,0.385315950472463,7
850,438,0.314355574929786,7
844,441,-0.0312839703919617,7
861,441,0.0117148212414956,7
957,441,-0.0330135150733022,7
988,441,-0.0299538650306487,7
994,441,-0.042648103220152,7
844,619,0.353913887613284,7
861,619,0.362503124158562,7
957,619,0.377396035200515,7
988,619,0.259044389134758,7
994,619,0.303528637629901,7
844,629,0.259169572170593,7
861,629,0.406767564012001,7
957,629,0.388277672865368,7
988,629,0.332617633849367,7
994,629,0.342914050805702,7
844,730,0.337771772668069,7
861,730,0.39035363518611,7
957,730,0.375105959039189,7
988,730,0.324000518334816,7
994,730,0.393378147702498,7
844,829,0.341495611085486,7
861,829,0.398368502722119,7
957,829,0.330068224024985,7
988,829,0.272464669261448,7
994,829,0.300911862394989,7
850,844,0.297296320339681,7
861,850,0.364808283102186,7
957,850,0.366490362743701,7
988,850,0.408945167874195,7
994,850,0.401529007371771,7
44,24,0.294660919175897,8
178,24,0.233588829829321,8
287,24,0.302124916243742,8
481,24,0.223444599586639,8
525,24,0.227515988874222,8
682,24,0.26630699894594,8
859,24,0.347448241762246,8
1055,24,0.233403604647722,8
182,44,0.2596339829951,8
356,44,0.222166511009867,8
404,44,0.325453981942914,8
435,44,0.242342144340476,8
533,44,0.282853693050084,8
669,44,0.377852590836322,8
985,44,0.222134491659043,8
1018,44,0.293145377636095,8
1123,44,0.270517767313807,8
182,178,0.304466034353898,8
356,178,0.251092095575412,8
404,178,0.315424120289227,8
435,178,0.259526073032711,8
533,178,0.238196773006397,8
669,178,0.278205734522934,8
985,178,0.212749509021989,8
1018,178,0.28689885862615,8
1123,178,0.185550123427154,8
287,182,0.400567412335823,8
481,182,0.40786322535402,8
525,182,0.305323586944646,8
682,182,0.355854010892836,8
859,182,0.304382691771756,8
1055,182,0.244113862765859,8
356,287,0.371645524419935,8
404,287,0.290413883070337,8
435,287,0.295700434028797,8
533,287,0.347567642039764,8
669,287,0.306016123837163,8
985,287,0.226624874913377,8
1018,287,0.35250415665434,8
1123,287,0.214655927761204,8
481,356,0.361691379832708,8
525,356,0.28041514637622,8
682,356,0.264490289340279,8
859,356,0.268034109268436,8
1055,356,0.216901775292455,8
481,404,0.360932977654206,8
525,404,0.222007496526096,8
682,404,0.365040232709069,8
859,404,0.278556841518486,8
1055,404,0.343994383665929,8
481,435,0.2716760377772,8
525,435,0.153045940598068,8
682,435,0.223425693821138,8
859,435,0.155115823896494,8
1055,435,0.241950825971776,8
533,481,0.285142808342143,8
669,481,0.303792150529333,8
985,481,0.27897288200902,8
1018,481,0.394232609361764,8
1123,481,0.232647090690794,8
533,525,0.216885721941329,8
669,525,0.238745216425988,8
985,525,0.237834256697717,8
1018,525,0.308347780633362,8
1123,525,0.262191198759612,8
682,533,0.315828382446372,8
859,533,0.245297298717557,8
1055,533,0.274394774214717,8
682,669,0.396020545794439,8
859,669,0.259223475436125,8
1055,669,0.379543663125841,8
985,682,0.241038287772999,8
1018,682,0.335244724087782,8
1123,682,0.150798838773285,8
985,859,0.228281381638045,8
1018,859,0.249054485733434,8
1123,859,0.215480797080668,8
1055,985,0.219456858247258,8
1055,1018,0.306829939699517,8
1123,1055,0.206725729425931,8
19,3,0.22555507773799,13
33,3,0.240883687119141,13
139,3,0.153697124952424,13
163,3,0.242523593456559,13
164,3,0.157411287224077,13
169,3,0.188889327352844,13
192,3,0.199424350513011,13
194,3,0.192019535288141,13
256,3,0.207451550208812,13
432,3,0.153976977946827,13
584,3,0.302988716709293,13
725,3,0.203824216267862,13
811,3,0.297350374277316,13
821,3,0.236572958976168,13
955,3,0.171485117693349,13
1011,3,0.137992712233117,13
1022,3,0.234027062403266,13
1054,3,0.288672911502096,13
33,19,0.250037696473488,13
164,19,0.384620065934686,13
169,19,0.320692798929079,13
194,19,0.29865511281575,13
198,19,0.187566903442617,13
256,19,0.296721834026637,13
325,19,0.188879253776037,13
575,19,0.125500714126683,13
725,19,0.261349645420019,13
749,19,0.261057677599246,13
755,19,0.282038101025032,13
762,19,0.225785984434611,13
955,19,0.252445988814086,13
981,19,0.204511385975039,13
1022,19,0.303359573737978,13
1059,19,0.227650851047835,13
1116,19,0.189742590445466,13
139,33,0.259396665532158,13
163,33,0.305388851889559,13
192,33,0.2473992949712,13
198,33,0.309832629653011,13
325,33,0.165389702935308,13
432,33,0.253895498550641,13
575,33,0.203694899702576,13
584,33,0.376782187232537,13
749,33,0.187727954586722,13
755,33,0.140616709814098,13
762,33,0.180796003176404,13
811,33,0.285919378506069,13
821,33,0.311706244293395,13
981,33,0.184839872534215,13
1011,33,0.299762141074875,13
1054,33,0.295548981550102,13
1059,33,0.149231835729318,13
1116,33,0.214959626652233,13
164,139,0.34116236619041,13
169,139,0.350751789700067,13
194,139,0.290199917607226,13
198,139,0.205855693933609,13
256,139,0.216504028632402,13
325,139,0.102151089403185,13
575,139,0.189555270721186,13
725,139,0.242825364349279,13
749,139,0.138852337576308,13
755,139,0.264964588643776,13
762,139,0.18544890086409,13
955,139,0.214617302174788,13
981,139,0.17001230033511,13
1022,139,0.345796943521317,13
1059,139,0.177146809605951,13
1116,139,0.302904095581664,13
164,163,0.221132230779033,13
169,163,0.185645598732464,13
194,163,0.128010678437718,13
198,163,0.357647782770138,13
256,163,0.231287835532792,13
325,163,0.301848629226161,13
575,163,0.254902191405335,13
725,163,0.386810081537959,13
749,163,0.216014573606139,13
755,163,0.170716379665786,13
762,163,0.210271049996231,13
955,163,0.182388895643877,13
981,163,0.26533009538632,13
1022,163,0.238687189369829,13
1059,163,0.253885164257397,13
1116,163,0.319182008451084,13
192,164,0.202384014183131,13
198,164,0.128438350164629,13
325,164,0.112554882029691,13
432,164,0.346689062634291,13
575,164,0.0813603239029755,13
584,164,0.192714246940586,13
749,164,0.156725183794373,13
755,164,0.273167177555586,13
762,164,0.197227563825915,13
811,164,0.287106029477736,13
821,164,0.258673352721779,13
981,164,0.257688729869508,13
1011,164,0.280399108827841,13
1054,164,0.288378449177059,13
1059,164,0.209323245543999,13
1116,164,0.230926409138886,13
192,169,0.28475336964544,13
198,169,0.151217572723946,13
325,169,0.142576784584511,13
432,169,0.231895078279355,13
575,169,0.152064318567346,13
584,169,0.28075918680888,13
749,169,0.197256173565232,13
755,169,0.201630833634898,13
762,169,0.149480167576019,13
811,169,0.278760979349818,13
821,169,0.210024588400405,13
981,169,0.12706091602262,13
1011,169,0.304692068057251,13
1054,169,0.321017259730281,13
1059,169,0.183914255504157,13
1116,169,0.221197703297763,13
194,192,0.23943271448626,13
198,192,0.284540720624578,13
256,192,0.203949915730889,13
325,192,0.233825762027612,13
575,192,0.26396362438369,13
725,192,0.262005801359632,13
749,192,0.324436896257387,13
755,192,0.194978543298998,13
762,192,0.208293559490039,13
955,192,0.134054462322265,13
981,192,0.297790421189479,13
