IID1,IID2,G,seqfamID
939,531,0.619883163457114,104
978,531,0.620099331849714,104
1062,531,0.503333032364173,104
978,939,0.475964475545076,104
1062,939,0.536136556049047,104
1062,978,0.512792249498118,104
976,490,0.463636501965444,77
995,490,0.400085461539233,77
1081,490,0.535580138145838,77
1119,490,0.419281579174534,77
995,976,0.540747889870713,77
1081,976,0.562506378004365,77
1119,976,0.383041469989529,77
1081,995,0.52058410160156,77
1119,995,0.491516291844985,77
1119,1081,0.339930990321773,77
382,314,0.324838685633316,111
467,314,0.463777141329488,111
573,314,0.42924732413469,111
587,314,0.582177983170922,111
1028,314,0.458305401035338,111
467,382,0.575814823516802,111
573,382,0.479482052115248,111
587,382,0.486997353379079,111
1028,382,0.483740958466918,111
573,467,0.36047532254816,111
587,467,0.552458239386361,111
1028,467,0.416705576361506,111
587,573,0.417074258456973,111
1028,573,0.468319433616148,111
1028,587,0.443052216293827,111
390,327,0.440611074614773,21
421,327,0.56963687426564,21
431,327,0.531368151282216,21
514,327,0.522727576898171,21
554,327,0.489168713354804,21
1108,327,0.407782348167486,21
421,390,0.427474481735817,21
431,390,0.398837513466303,21
514,390,0.417335964520172,21
554,390,0.564780906145095,21
1108,390,0.472183411588886,21
431,421,0.425221955835753,21
514,421,0.459850307795682,21
554,421,0.423972831028037,21
1108,421,0.409812159885584,21
514,431,0.459845700255194,21
554,431,0.430483678975576,21
1108,431,0.565484817776339,21
554,514,0.451157828005857,21
1108,514,0.340725174263353,21
1108,554,0.488618267623932,21
87,16,0.404090517680868,45
367,16,0.537518909432063,45
370,16,0.502061368768596,45
434,16,0.361793779051177,45
889,16,0.452804183588052,45
1024,16,0.447849224471749,45
367,87,0.446022764117792,45
370,87,0.450631375438078,45
434,87,0.450636259690656,45
889,87,0.460422023421089,45
1024,87,0.486846569755131,45
370,367,0.536569638842656,45
434,367,0.372271670318158,45
889,367,0.506808369365514,45
1024,367,0.425576042780605,45
434,370,0.480163570888346,45
